date,close,volume,open,high,low,,,,,,,,,,,,,,,,,,,
7/17/2012,86.7057,73378782,87.2557,87.3571,86.1643,,,,,,,,,,,,,,,,,,,
7/18/2012,86.6085,62685509,86.6557,86.9057,86.2228,,,,,,,,,,,,,,,,,,,
7/19/2012,87.76,108981913,87.3257,87.9071,86.5714,,,,,,,,,,,,,,,,,,,
7/20/2012,86.3285,99227200,87.5757,87.7771,86.2428,,,,,,,,,,,,,,,,,,,
7/23/2012,86.2614,121642186,84.9143,86.5571,83.9585,,,,,,,,,,,,,,,,,,,
7/24/2012,85.8457,137351661,86.7685,87.0971,85.5014,,,,,,,,,,,,,,,,,,,
7/25/2012,82.1385,219211506,82.0657,82.9714,81.4285,,,,,,,,,,,,,,,,,,,
7/26/2012,82.1257,101611050,82.8228,82.9143,81.48,,,,,,,,,,,,,,,,,,,
7/27/2012,83.5943,100956620,82.1443,83.69,81.6557,,,,,,,,,,,,,,,,,,,
7/30/2012,85.0043,94626868,84.4171,85.6343,83.9743,,,,,,,,,,,,,,,,,,,
7/31/2012,87.2514,115373055,86.1757,87.3857,86.1028,,,,,,,,,,,,,,,,,,,
8/1/2012,86.6871,96002719,87.9864,88.0571,86.1428,,,,,,,,,,,,,,,,,,,
8/2/2012,86.8271,83023385,86.12,87.2414,85.75,,,,,,,,,,,,,,,,,,,
8/3/2012,87.9571,86083296,87.6614,88.2828,87.3657,,,,,,,,,,,,,,,,,,,
8/6/2012,88.9357,75488233,88.1843,89.2668,87.8943,,,,,,,,,,,,,,,,,,,
8/7/2012,88.702,72558872,88.9671,89.2857,88.2914,,,,,,,,,,,,,,,,,,,
8/8/2012,88.5514,60970746,88.4843,89.1257,88.1571,,,,,,,,,,,,,,,,,,,
8/9/2012,88.6757,55081834,88.2643,88.8185,88.2571,,,,,,,,,,,,,,,,,,,
8/10/2012,88.8143,48726623,88.3871,88.8228,88.3857,,,,,,,,,,,,,,,,,,,
8/13/2012,90,69562052,89.0557,90,89.0357,,,,,,,,,,,,,,,,,,,
8/14/2012,90.2414,84939075,90.2671,91.23,90.03,,,,,,,,,,,,,,,,,,,
8/15/2012,90.1185,64307325,90.1857,90.5714,89.6785,,,,,,,,,,,,,,,,,,,
8/16/2012,90.9057,63601368,90.1728,90.9657,90.0714,,,,,,,,,,,,,,,,,,,
8/17/2012,92.5871,110457373,91.4285,92.5985,91.2585,,,,,,,,,,,,,,,,,,,
8/20/2012,95.0214,152992536,92.8585,95.0214,92.8428,,,,,,,,,,,,,,,,,,,
8/21/2012,93.7231,202792581,95.8314,96.4114,92.9043,,,,,,,,,,,,,,,,,,,
8/22/2012,95.5528,140900172,93.4885,95.5714,92.5871,,,,,,,,,,,,,,,,,,,
8/23/2012,94.6614,104855271,95.1585,95.7,94.45,,,,,,,,,,,,,,,,,,,
8/24/2012,94.746,107074132,94.2157,95.64,93.65,,,,,,,,,,,,,,,,,,,
8/27/2012,96.5257,106575802,97.1414,97.2671,96.22,,,,,,,,,,,,,,,,,,,
8/28/2012,96.4,66709096,96.4253,96.5857,95.8104,,,,,,,,,,,,,,,,,,,
8/29/2012,96.2094,50544551,96.4643,96.81,96.0857,,,,,,,,,,,,,,,,,,,
8/30/2012,94.8383,75514273,95.8057,95.9363,94.6933,,,,,,,,,,,,,,,,,,,
8/31/2012,95.0343,84463495,95.3214,95.5143,93.8928,,,,,,,,,,,,,,,,,,,
9/4/2012,96.4243,91805028,95.1085,96.4485,94.9285,,,,,,,,,,,,,,,,,,,
9/5/2012,95.7471,83949835,96.51,96.6214,95.6571,,,,,,,,,,,,,,,,,,,
9/6/2012,96.61,97738999,96.1671,96.8985,95.8285,,,,,,,,,,,,,,,,,,,
9/7/2012,97.2057,82228185,96.8643,97.4971,96.5385,,,,,,,,,,,,,,,,,,,
9/10/2012,94.6771,121551956,97.2071,97.6128,94.5857,,,,,,,,,,,,,,,,,,,
9/11/2012,94.37,125760918,95.0157,95.7285,93.7857,,,,,,,,,,,,,,,,,,,
9/12/2012,95.6843,177589913,95.2643,95.7,93.7143,,,,,,,,,,,,,,,,,,,
9/13/2012,97.5685,149262095,96.7671,97.9285,96.3957,,,,,,,,,,,,,,,,,,,
9/14/2012,98.7543,149877325,98.565,99.5685,98.27,,,,,,,,,,,,,,,,,,,
